Load_res,LFW,Load,LFS
2522.14368,0.145296354,9129.18975,0.103927485
2474.41488,0.156817856,9201.16575,0.090109998
2505.15216,0.263566707,9296.7885,0.053244739
2682.72816,0.17583121,9586.921,0.016177975
3086.13984,0.135417526,10088.52075,0.00074506
3158.93424,0.178565384,10096.96575,0
2926.99512,0.217746521,9575.207,0
2628.75648,0.218924819,9128.8995,0
2334.51624,0.371722789,9084.35875,0
1962.10056,0.491581567,9008.90175,0
1304.73168,0.082659571,7701.226,0
1191.83064,0.098771622,7404.5875,0
1106.96544,0.095593529,7206.63,0
1041.27072,0.06015388,7110.19925,0
1055.15088,0.03963827,7045.6595,0.000221825
1127.4312,0.03743701,6835.846,0.026880601
1325.42592,0.025118906,6697.81975,0.082836344
1698.34896,0.022697104,6839.198,0.146342599
1961.15136,0.030251709,7042.23375,0.265468474
2160.48,0.029816867,6697.308,0.401497064
2398.95096,0.033477657,6633.75475,0.566390825
2396.96184,0.02253794,6404.34325,0.644441848
2189.6616,0.021695302,6278.7465,0.646953041
2010.97344,0.022043801,6135.027,0.57641443
1885.05408,0.021178277,6252.34575,0.491146479
1849.8732,0.034844601,6389.74075,0.429847466
2024.57136,0.032657906,6540.94825,0.33040643
2216.46432,0.039253361,7002.26425,0.216427401
2289.05712,0.054667377,7713.33725,0.104675932
2272.43856,0.087612404,7990.721,0.035847574
2235.45,0.103934595,8234.02325,0.004446657
2049.5832,0.156975994,8268.8545,0
1663.94592,0.203157704,8369.094,0
1374.2484,0.268764798,7930.5395,0
1228.35384,0.238247947,8229.33725,0
1139.61288,0.180579557,7890.5895,0
1080.6768,0.17645936,7608.57425,0
1041.63864,0.217233403,7510.714,0
1120.83552,0.211392267,7571.304,0.001798305
1331.92584,0.203475127,7658.21275,0.037498561
1620.76152,0.191458314,8388.31325,0.120262092
1705.53264,0.192473227,8949.25825,0.258055121
1688.1816,0.172935387,9190.667,0.408981536
1700.59176,0.199983991,9160.0605,0.508885694
1852.6956,0.203141611,9026.629,0.576606622
1803.774,0.219944626,8989.966,0.611995306
1693.91376,0.211378927,8598.221,0.585146032
