LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
7929203,3929203,1961.15136,7929203,9258820,9212906,6950087,9296967,9159523,9727200,9062677,7053748,8126709
7586842,3586842,2160.48,7586842,9415530,9259100,6719984,9339404,9319142,9957427,9063290,7243503,8486086
7070213,3070213,2398.95096,7070213,9144122,8956458,6699035,9233323,9372617,9904901,8947414,7240148,8811755
6719070,2719070,2396.96184,6719070,9164584,8796821,6473079,8882859,9363246,9996186,8719735,7154648,8885971
6542215,2542215,2189.6616,6542215,8670929,8532988,6363656,8473380,9048340,9926245,8413500,7061371,8936107
6296084,2296084,2010.97344,6296084,8324418,8346418,6237211,8281712,8854944,9893820,8474863,6815813,8597463
6102073,2102073,1885.05408,6102073,8391030,8422945,6153592,8270556,8657022,9719454,8650726,6635889,8389048
6157570,2157570,1849.8732,6157570,8355000,8349969,6402234,8285656,8576612,9564595,8931181,6510890,8129317
6237431,2237431,2024.57136,6237431,8152627,8573930,6512690,8352293,8563298,9503666,9048026,6607234,8207787
6624356,2624356,2216.46432,6624356,8429875,8803200,6706552,8740344,8680172,9434152,9615571,6865438,8364334
7274150,3274150,2289.05712,7274150,8990276,9273343,7504816,8949842,8995618,9360126,9981126,7257502,8664809
7795898,3795898,2272.43856,7795898,9201928,9443771,7854202,8886763,9048947,9210462,9780178,7744341,8721609
8068205,4068205,2235.45,8068205,9103268,9462448,8210701,8932423,9064963,9112624,9511666,7941447,8744437
8123521,4123521,2049.5832,8123521,8935340,9244872,8320191,8712353,9003273,8936530,9175918,8072878,8502222
8253145,4253145,1663.94592,8253145,8980375,9020805,8365906,8864165,9267346,9232631,9409553,8684972,8767178
8175294,4175294,1374.2484,8175294,8969600,8992531,8089797,8894909,9218351,9188234,9479240,8582441,8606122
7255000,3255000,1228.35384,7255000,8136196,8317175,8364021,8392959,7621852,7660821,8452495,8906035,9326611
6869682,2869682,1139.61288,6869682,7784814,7999020,7971073,7890624,7365656,7424111,7873231,8467598,8641351
6448333,2448333,1080.6768,6448333,7454332,7659167,7625291,7542246,7091594,7028376,7395554,7932867,8389976
6201514,2201514,1041.63864,6201514,7377434,7701879,7585299,7356853,7111909,6873492,7116451,7957478,8263457
6050010,2050010,1120.83552,6050010,7171479,7678930,7534111,7534750,7060821,6591811,7062800,7912111,8248719
5983234,1983234,1331.92584,5983234,7119809,7801338,7635024,7789463,7336218,6592004,6877319,8244477,8340477
5892646,1892646,1620.76152,5892646,7064798,8346768,8046464,8195283,7912279,6559182,6706956,8712319,8767567
5853890,1853890,1705.53264,5853890,7355653,8933281,8767073,8901435,8938462,6569784,6924646,9392119,9736667
5762345,1762345,1688.1816,5762345,7621348,9129603,9182714,9354374,9343324,6797592,7360829,9589104,10322351
